Go.	Ṛuḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2877272 (CM) & #8325200 (Yagurten)
Stop it.	Ḥebsemt-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704333 (Amastan)
Stop it.	Ḥebset-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704334 (Amastan)
Stop it.	Ḥebsem-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704335 (Amastan)
Stop it.	Ḥebsemt-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704336 (Amastan)
Stop it.	Ssebded-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704337 (Amastan)
Stop it.	Ssebded-itt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704338 (Amastan)
Stop it.	Sbeddet-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704339 (Amastan)
Stop it.	Sbeddet-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704340 (Amastan)
Stop it.	Sbeddem-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704341 (Amastan)
Stop it.	Sbeddem-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704342 (Amastan)
Stop it.	Sbeddemt-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704343 (Amastan)
Stop it.	Sbeddemt-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111499 (CK) & #8704344 (Amastan)
Take it.	Awi-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637473 (Amastan)
Take it.	Awi-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637474 (Amastan)
Take it.	Awit-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637475 (Amastan)
Take it.	Awit-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637476 (Amastan)
Take it.	Awim-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637477 (Amastan)
Take it.	Awim-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637478 (Amastan)
Take it.	Awimt-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637479 (Amastan)
Take it.	Awimt-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913089 (CK) & #7637480 (Amastan)
Tell me.	Ini-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913090 (CK) & #7637434 (Amastan)
Tell me.	Init-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913090 (CK) & #7637435 (Amastan)
Tell me.	Inim-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913090 (CK) & #7637436 (Amastan)
Tell me.	Inimt-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1913090 (CK) & #7637437 (Amastan)
Tom ate.	Tom yecca.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203599 (CK) & #2923012 (Amastan)
Tom ate.	Tom yečča.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203599 (CK) & #7819008 (Amastan)
Tom ate.	Yečča Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203599 (CK) & #7819009 (Amastan)
Tom hid.	Tom yeffer.	CC-BY 2.0 (France) Attribution: tatoeba.org #8385636 (CK) & #2933356 (Amastan)
Tom ran.	Tom yuzzel.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203766 (CK) & #2902000 (Amastan)
Tom ran.	Yuzzel Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203766 (CK) & #3537321 (Amastan)
Tom won.	Tom yerbeḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2005191 (CK) & #7818774 (Amastan)
Tom won.	Yerbeḥ Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2005191 (CK) & #7818775 (Amastan)
Wake up!	Aki-d!	CC-BY 2.0 (France) Attribution: tatoeba.org #323780 (CK) & #1752789 (Amastan)
Wash up.	Ssired.	CC-BY 2.0 (France) Attribution: tatoeba.org #20763 (CK) & #1736626 (Amastan)
We know.	Neẓra.	CC-BY 2.0 (France) Attribution: tatoeba.org #1556167 (shanghainese) & #9357707 (Yagurten)
We lost.	Nexser.	CC-BY 2.0 (France) Attribution: tatoeba.org #2107666 (CK) & #2854928 (Uyezjen)
Welcome.	Anṣuf!	CC-BY 2.0 (France) Attribution: tatoeba.org #138919 (CM) & #1620398 (Amastan)
Welcome.	ⴱⴻⵔⵔⴽ	CC-BY 2.0 (France) Attribution: tatoeba.org #138919 (CM) & #8233281 (aakouri)
Welcome.	ⴰⵏⵚⵓⴼ / ⴱⴻⵔⵔⴽ	CC-BY 2.0 (France) Attribution: tatoeba.org #138919 (CM) & #8871488 (aakouri)
Who ate?	Anwa ay yeččan?	CC-BY 2.0 (France) Attribution: tatoeba.org #2203598 (CK) & #5812493 (Amastan)
Why not?	Acimi ala?	CC-BY 2.0 (France) Attribution: tatoeba.org #30545 (CK) & #7320559 (MessDjaaf)
You run.	Tettazzaleḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #672252 (CK) & #1749573 (Amastan)
You won.	Trebḥed.	CC-BY 2.0 (France) Attribution: tatoeba.org #2549833 (CK) & #2923157 (Amastan)
You won.	Trebḥeḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #2549833 (CK) & #2923159 (Amastan)
Am I fat?	Zureɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2214296 (Hybrid) & #5779506 (Amastan)
Am I fat?	Ɛni zureɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2214296 (Hybrid) & #5779507 (Amastan)
Ask them.	Tter-iten.	CC-BY 2.0 (France) Attribution: tatoeba.org #3820042 (CK) & #5788912 (Amastan)
Ask them.	Tter-itent.	CC-BY 2.0 (France) Attribution: tatoeba.org #3820042 (CK) & #5788913 (Amastan)
Ask them.	Ssuter-asen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3820042 (CK) & #5788914 (Amastan)
Ask them.	Ssuter-asent.	CC-BY 2.0 (France) Attribution: tatoeba.org #3820042 (CK) & #5788915 (Amastan)
Back off.	Qqel ɣer deffir.	CC-BY 2.0 (France) Attribution: tatoeba.org #1553533 (CK) & #1657232 (Amastan)
Be a man.	Ili-k d argaz!	CC-BY 2.0 (France) Attribution: tatoeba.org #2221008 (Hybrid) & #3684540 (Juba)
Be brave.	Ili d abɣas.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413248 (Amastan)
Be brave.	Ili d tabɣast.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413249 (Amastan)
Be brave.	Ilit d ibɣasen.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413250 (Amastan)
Be brave.	Ilim d ibɣasen.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413251 (Amastan)
Be brave.	Ilimt d tibɣasin.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413252 (Amastan)
Be brave.	Ili-k d abɣas.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413253 (Amastan)
Be brave.	Ili-kem d tabɣast.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413254 (Amastan)
Be brave.	Ili-ken d ibɣasen.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413255 (Amastan)
Be brave.	Ili-kent d tibɣasin.	CC-BY 2.0 (France) Attribution: tatoeba.org #4054941 (CK) & #8413256 (Amastan)
Be brief.	Ili-k d awezlan.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413228 (Amastan)
Be brief.	Ili-kem d tawezlant.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413229 (Amastan)
Be brief.	Ili-ken d iwezlanen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413230 (Amastan)
Be brief.	Ili-kent d tiwezlanin.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413232 (Amastan)
Be brief.	Ili d awezlan.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413233 (Amastan)
Be brief.	Ili d tawezlant.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413234 (Amastan)
Be brief.	Ilit d iwezlanen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413235 (Amastan)
Be brief.	Ilim d iwezlanen.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413236 (Amastan)
Be brief.	Ilimt d tiwezlanin.	CC-BY 2.0 (France) Attribution: tatoeba.org #3826022 (CK) & #8413237 (Amastan)
Be quick.	Ɣiwlet.	CC-BY 2.0 (France) Attribution: tatoeba.org #5817081 (OsoHombre) & #1839771 (Amastan)
Be quick.	Ɣiwlemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #5817081 (OsoHombre) & #1839772 (Amastan)
Be quick.	Ɣiwel.	CC-BY 2.0 (France) Attribution: tatoeba.org #5817081 (OsoHombre) & #7329706 (Amastan)
Be quiet.	Susem.	CC-BY 2.0 (France) Attribution: tatoeba.org #1275396 (jakov) & #7664824 (MessDjaaf)
Be quiet.	Susmet.	CC-BY 2.0 (France) Attribution: tatoeba.org #1275396 (jakov) & #8412939 (Amastan)
Be quiet.	Susmem.	CC-BY 2.0 (France) Attribution: tatoeba.org #1275396 (jakov) & #8412940 (Amastan)
Be quiet.	Susmemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1275396 (jakov) & #8412941 (Amastan)
Be still.	Qqim ur ttewliwil ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954265 (CK) & #7637819 (Amastan)
Be still.	Qqimet ur ttewliwilet ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954265 (CK) & #7637820 (Amastan)
Be still.	Qqimemt ur ttewliwilemt ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954265 (CK) & #7637821 (Amastan)
Be still.	Qqimem ur ttewliwilet ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954265 (CK) & #8413024 (Amastan)
Bye, Tom.	Ar tufat a Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #6665116 (CK) & #7819156 (Amastan)
Bye, Tom.	Ar timlilit a Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #6665116 (CK) & #7819158 (Amastan)
Call Tom.	Ɣer-as i Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203855 (CK) & #7819055 (Amastan)
Call Tom.	Ɣret-as i Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203855 (CK) & #7819056 (Amastan)
Call Tom.	Ɣrem-as i Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203855 (CK) & #7819057 (Amastan)
Call Tom.	Ɣremt-as i Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203855 (CK) & #7819058 (Amastan)
Catch me.	Ṭṭef-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540665 (CK) & #8701960 (Amastan)
Catch me.	Ṭṭfet-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540665 (CK) & #8701961 (Amastan)
Catch me.	Ṭṭfem-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540665 (CK) & #8701962 (Amastan)
Catch me.	Ṭṭfemt-iyi-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #8540665 (CK) & #8701963 (Amastan)
Cheer up!	Fṛeḥ!	CC-BY 2.0 (France) Attribution: tatoeba.org #239441 (CM) & #1603257 (Amastan)
Cheer up!	Ur ḥezzen ara!	CC-BY 2.0 (France) Attribution: tatoeba.org #239441 (CM) & #8325226 (Yagurten)
Cuff him.	Err-as ticekkalin.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954267 (CK) & #7637796 (Amastan)
Cuff him.	Rret-as ticekkalin.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954267 (CK) & #7637797 (Amastan)
Cuff him.	Rremt-as ticekkalin.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954267 (CK) & #7637798 (Amastan)
Drive on.	Kemmel tanhaṛt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954268 (CK) & #2183018 (Amastan)
Drive on.	Kemmlet tanhaṛt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954268 (CK) & #7637794 (Amastan)
Drive on.	Kemmlent tanhaṛt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954268 (CK) & #7637795 (Amastan)
Find Tom.	Af-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111838 (CK) & #7818830 (Amastan)
Find Tom.	Afet-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111838 (CK) & #7818831 (Amastan)
Find Tom.	Afem-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111838 (CK) & #7818832 (Amastan)
Find Tom.	Afemt-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111838 (CK) & #7818833 (Amastan)
Get away!	Ffeɣ seg-a!	CC-BY 2.0 (France) Attribution: tatoeba.org #240634 (CM) & #1722772 (Amastan)
Get away!	Erẓ akkin!	CC-BY 2.0 (France) Attribution: tatoeba.org #240634 (CM) & #1722773 (Amastan)
Get down!	Ṣubb!	CC-BY 2.0 (France) Attribution: tatoeba.org #268087 (CM) & #8325245 (Yagurten)
Get down.	Ader.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954269 (CK) & #7637776 (Amastan)
Get down.	Adret.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954269 (CK) & #7637777 (Amastan)
Get down.	Adremt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954269 (CK) & #7637778 (Amastan)
Get lost!	Qewwed!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7366653 (Belarhzali)
Get lost!	Ṛuḥ fell-i!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704359 (Yagurten)
Get lost!	Ṛuḥet fell-i!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704361 (Yagurten)
Get lost!	Ṛuḥemt fell-i!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704362 (Yagurten)
Get lost!	Qewwdet!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704363 (Yagurten)
Get lost!	Qewwdemt!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704365 (Yagurten)
Get lost!	Qewwed fell-i!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704366 (Yagurten)
Get lost!	Qewwdet fell!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704367 (Yagurten)
Get lost!	Qewwdemt fell-i!	CC-BY 2.0 (France) Attribution: tatoeba.org #623565 (Dorenda) & #7704370 (Yagurten)
Get lost.	Rreẓ akkin.	CC-BY 2.0 (France) Attribution: tatoeba.org #854500 (CK) & #7637773 (Amastan)
Get lost.	Rrẓet akkin.	CC-BY 2.0 (France) Attribution: tatoeba.org #854500 (CK) & #7637774 (Amastan)
Get lost.	Rrẓemt akkin.	CC-BY 2.0 (France) Attribution: tatoeba.org #854500 (CK) & #7637775 (Amastan)
Good job!	D axeddim yelhan!	CC-BY 2.0 (France) Attribution: tatoeba.org #1021038 (Quazel) & #1843634 (Amastan)
Good job!	D amahil yelhan!	CC-BY 2.0 (France) Attribution: tatoeba.org #1021038 (Quazel) & #8472295 (Amastan)
Grab Tom.	Ḍḍef-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972639 (CK) & #7637853 (Amastan)
Grab Tom.	Ḍḍfet-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972639 (CK) & #7637854 (Amastan)
Grab Tom.	Ḍḍfemt-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #1972639 (CK) & #7637855 (Amastan)
Grab him.	Ḍḍef-it-id.	CC-BY 2.0 (France) Attribution: tatoeba.org #285184 (CK) & #1813862 (Amastan)
Grab him.	Ḍḍfet-t-id.	CC-BY 2.0 (France) Attribution: tatoeba.org #285184 (CK) & #7637763 (Amastan)
Grab him.	Ḍḍfemt-t-id.	CC-BY 2.0 (France) Attribution: tatoeba.org #285184 (CK) & #7637764 (Amastan)
He spoke.	Yessawel-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #1564976 (marcelostockle) & #7840841 (Amastan)
He tried.	Yeɛreḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #3146660 (CM) & #2933647 (Amastan)
He tried.	Yurem.	CC-BY 2.0 (France) Attribution: tatoeba.org #3146660 (CM) & #7497713 (Amastan)
He tries.	La iɛerreḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #288166 (CM) & #7497717 (Amastan)
He tries.	La yettarem.	CC-BY 2.0 (France) Attribution: tatoeba.org #288166 (CM) & #7497722 (Amastan)
Help Tom.	Ɛawen Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819069 (Amastan)
Help Tom.	Ɛawnet Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819070 (Amastan)
Help Tom.	Ɛawnem Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819071 (Amastan)
Help Tom.	Ɛawnemt Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819072 (Amastan)
Help Tom.	Alel Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819073 (Amastan)
Help Tom.	Allet Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819074 (Amastan)
Help Tom.	Allem Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819075 (Amastan)
Help Tom.	Allemt Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203858 (CK) & #7819076 (Amastan)
Hurry up.	Ɣiwel!	CC-BY 2.0 (France) Attribution: tatoeba.org #1329 (brauliobezerra) & #1673968 (Amastan)
Hurry up.	Ɣiwlet.	CC-BY 2.0 (France) Attribution: tatoeba.org #1329 (brauliobezerra) & #1839771 (Amastan)
Hurry up.	Ɣiwlemt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1329 (brauliobezerra) & #1839772 (Amastan)
I can go.	Zemreɣ ad ṛuḥeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #3092548 (CK) & #9521574 (Yagurten)
I did it.	D nekk ay igan aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2549832 (CK) & #2459527 (Amastan)
I get by.	Ttsellikeɣ iɣef-inu.	CC-BY 2.0 (France) Attribution: tatoeba.org #2476830 (arnxy20) & #7522370 (Amastan)
I get it.	Gziɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1691393 (aka_aj) & #7637751 (Amastan)
I got it.	Fehmeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #433472 (CK) & #2231996 (Amastan)
I obeyed.	Lliɣ ttaɣeɣ awal.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828635 (CK) & #2201799 (Amastan)
I obeyed.	Uɣeɣ awal.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828635 (CK) & #8792210 (Amastan)
I obeyed.	Nekk uɣeɣ awal.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828635 (CK) & #8792211 (Amastan)
I obeyed.	Nekk lliɣ ttaɣeɣ awal.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828635 (CK) & #8792212 (Amastan)
I use it.	Sseqdaceɣ-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #254813 (CK) & #2043201 (Amastan)
I use it.	Sseqdaceɣ-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #254813 (CK) & #2043202 (Amastan)
I waited.	Gganiɣ	CC-BY 2.0 (France) Attribution: tatoeba.org #2123628 (CK) & #6878632 (Amgaray)
I'm a DJ.	Nekk d adiji.	CC-BY 2.0 (France) Attribution: tatoeba.org #5828645 (CK) & #7893668 (LinaTamazight)
I'm back.	Qqleɣ-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #564159 (darinmex) & #1626363 (Amastan)
I'm cold.	Yenɣa-iyi usemmiḍ.	CC-BY 2.0 (France) Attribution: tatoeba.org #455947 (lukaszpp) & #1668723 (Amastan)
I'm fine.	Fejjijeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #257272 (Eldad) & #6028614 (Amgaray)
I'm fine.	Ifejjij.	CC-BY 2.0 (France) Attribution: tatoeba.org #257272 (Eldad) & #7990983 (Amgaray)
I'm fine.	Igerrez.	CC-BY 2.0 (France) Attribution: tatoeba.org #257272 (Eldad) & #7990984 (Amgaray)
I'm full.	Ṛwiɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #433863 (CK) & #1761945 (Amastan)
I'm here.	Aql-in da.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111726 (CK) & #7319014 (MessDjaaf)
I'm lost.	Ɛerqeɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #455833 (lukaszpp) & #1668634 (Amastan)
I'm sick.	Aql-iyi uḍneɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #780304 (vgigregg) & #9358545 (Yagurten)
It's Tom.	D Tom aya.	CC-BY 2.0 (France) Attribution: tatoeba.org #2123573 (CK) & #7831818 (Amastan)
It's Tom.	D Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2123573 (CK) & #7831843 (Amastan)
It's hot.	D aẓɣal.	CC-BY 2.0 (France) Attribution: tatoeba.org #423405 (cristina_fulginiti) & #7069228 (Amastan)
It's new.	Aya d amaynu.	CC-BY 2.0 (France) Attribution: tatoeba.org #42304 (CK) & #1824656 (Amastan)
Keep out.	Ur d-ttadef ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #325435 (CK) & #7637742 (Amastan)
Keep out.	Ur d-ttadfet ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #325435 (CK) & #7637743 (Amastan)
Keep out.	Ur d-ttadfemt ara.	CC-BY 2.0 (France) Attribution: tatoeba.org #325435 (CK) & #7637744 (Amastan)
Kill Tom.	Neɣ Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #7126144 (CM) & #7819178 (Amastan)
Kill Tom.	Nɣet Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #7126144 (CM) & #7819179 (Amastan)
Kill Tom.	Nɣem Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #7126144 (CM) & #7819181 (Amastan)
Kill Tom.	Nɣemt Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #7126144 (CM) & #7819182 (Amastan)
Kiss Tom.	Ssuden Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203863 (CK) & #7819079 (Amastan)
Kiss Tom.	Ssudnet Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203863 (CK) & #7819080 (Amastan)
Kiss Tom.	Ssudnem Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203863 (CK) & #7819081 (Amastan)
Kiss Tom.	Ssudment Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203863 (CK) & #7819082 (Amastan)
Leave it.	Eǧǧ-it.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954272 (CK) & #7637734 (Amastan)
Leave it.	Ǧǧet-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954272 (CK) & #7637735 (Amastan)
Leave it.	Ǧǧemt-t.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954272 (CK) & #7637736 (Amastan)
Leave it.	Eǧǧ-itt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954272 (CK) & #7637737 (Amastan)
Leave it.	Ǧǧet-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954272 (CK) & #7637738 (Amastan)
Leave it.	Ǧǧemt-tt.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954272 (CK) & #7637739 (Amastan)
Leave me.	Ajj-i!	CC-BY 2.0 (France) Attribution: tatoeba.org #1954273 (CK) & #7334725 (Belarhzali)
Leave me.	Eǧǧ-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954273 (CK) & #8258695 (Amastan)
Leave me.	Ǧǧemt-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954273 (CK) & #8258697 (Amastan)
Leave me.	Ǧǧem-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954273 (CK) & #8258699 (Amastan)
Leave us.	Eǧǧ-aɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954274 (CK) & #7637731 (Amastan)
Leave us.	Ǧǧet-aɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954274 (CK) & #7637732 (Amastan)
Leave us.	Ǧǧemt-aɣ.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954274 (CK) & #7637733 (Amastan)
Let's go!	Ad neddu.	CC-BY 2.0 (France) Attribution: tatoeba.org #241077 (CK) & #1736526 (Amastan)
Let's go!	Yyat ad nṛuḥet !	CC-BY 2.0 (France) Attribution: tatoeba.org #241077 (CK) & #3677757 (Juba)
Look out!	Ɣur-k!	CC-BY 2.0 (France) Attribution: tatoeba.org #20719 (CK) & #1598704 (Amastan)
Marry me.	Aɣ-iyi.	CC-BY 2.0 (France) Attribution: tatoeba.org #1954275 (CK) & #5812867 (Amastan)
May I go?	Ulac aɣilif ma ddiɣ?	CC-BY 2.0 (France) Attribution: tatoeba.org #2163138 (Source_VOA) & #7560646 (LinaTamazight)
Save Tom.	Ssukkes-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203865 (CK) & #7819101 (Amastan)
Save Tom.	Ssukkset-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203865 (CK) & #7819102 (Amastan)
Save Tom.	Ssukksem-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203865 (CK) & #7819103 (Amastan)
Save Tom.	Ssukksemt-d Tom.	CC-BY 2.0 (France) Attribution: tatoeba.org #2203865 (CK) & #7819104 (Amastan)
She came.	Tusa-d.	CC-BY 2.0 (France) Attribution: tatoeba.org #853152 (piksea) & #2286177 (Amastan)
She left.	Tṛuḥ.	CC-BY 2.0 (France) Attribution: tatoeba.org #3258750 (CH) & #9317399 (Yagurten)
She lied.	Tella teskerkis.	CC-BY 2.0 (France) Attribution: tatoeba.org #2774739 (CH) & #2386790 (Amastan)
She lied.	Teskerkes.	CC-BY 2.0 (France) Attribution: tatoeba.org #2774739 (CH) & #7495988 (Amastan)
Sit down!	Qqim!	CC-BY 2.0 (France) Attribution: tatoeba.org #1349166 (sacredceltic) & #1617064 (Amastan)
Speak up!	Ɛeyyeḍ akken ad ak-nsel!	CC-BY 2.0 (France) Attribution: tatoeba.org #35175 (CK) & #1616816 (Amastan)
Stand by.	Ṛju.	CC-BY 2.0 (France) Attribution: tatoeba.org #2111528 (CK) & #1626490 (Amastan)
Stand up!	Nker!	CC-BY 2.0 (France) Attribution: tatoeba.org #325429 (CK) & #2043210 (Amastan)
Stand up!	Nekret!	CC-BY 2.0 (France) Attribution: tatoeba.org #325429 (CK) & #2043211 (Amastan)
Stand up!	Nekremt!	CC-BY 2.0 (France) Attribution: tatoeba.org #325429 (CK) & #2043214 (Amastan)
